,id,instruments,genres,place,coordinates,is-danced,youtube-id,start-ts,end-ts,region,sub-region,main_genre,secondary_genre,sub-genre,Lyra,Cimbalom,Whistling,Floghera,Trumpet,Klarino,Flute,Laouto,Guitar,Trombone,Bass,Piano,Cello,Tambouras,Baglamas,Zournas,Kanonaki,Santouri,Violin,Voice,Accordion,Oud,Mandolin,Ney,Tsampouna,Tuba,Bassoon,Percussion,Bouzouki,Tsumbus
10,agiothodoritiko,"['Violin', 'Percussion', 'Laouto', 'Klarino', 'Guitar']","['Traditional', 'Central-Greek']",['Central-Greece'],38.87601135662379|22.319114372276747,yes,GIOAt5GHt3I,4848,5065,Central-Greece,Central-Greece,Traditional,Central-Greek,Central-Greek,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no
11,agouros,"['Voice', 'Violin', 'Percussion', 'Laouto', 'Klarino', 'Guitar']","['Traditional', 'Thessalic']",['Thessaly'],39.57905217840133|22.421756857721853,yes,GIOAt5GHt3I,3891,4008,Thessaly,Thessaly,Traditional,Thessalic,Thessalic,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no
12,agouros-petra-pelekaei,"['Voice', 'Violin', 'Percussion', 'Laouto', 'Klarino']","['Traditional', 'Peloponnesian']",['Peloponnese'],37.200485993306756|22.362045452582027,yes,6bLFhgwoKsY,3617,3860,Peloponnese,Peloponnese,Traditional,Peloponnesian,Peloponnesian,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no
13,ai-nigias,"['Voice', 'Violin', 'Santouri', 'Laouto']","['Traditional', 'Nisiotiko', 'Aegean']","['Aegean-sea', 'Sifnos']",36.983851358131275|24.709400725229422,no,jpktBKou-_E,946,1170,Aegean-sea,Sifnos,Traditional,Nisiotiko,Aegean,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
14,aidin,"['Tsumbus', 'Percussion', 'Klarino', 'Bass']","['Traditional', 'Macedonian']","['Macedonia', 'Serres']",41.08508489943737|23.557964014071484,yes,g4hypPA6D9Y,4568,4753,Macedonia,Serres,Traditional,Macedonian,Macedonian,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes
15,aidinikos-choros,"['Voice', 'Violin', 'Guitar', 'Accordion']","['Traditional', 'Mikrasiatiko']",['Asia-minor'],38.5231944247523|26.521702731335296,no,vd8WTrc12Uo,1112,1291,Asia-minor,Asia-minor,Traditional,Mikrasiatiko,Mikrasiatiko,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
16,ainte-min-to-vazeis-sto-gyali,['Voice'],"['Traditional', 'Macedonian', 'Vlachic']","['Macedonia', 'Grevena']",40.08538883719564|21.41961215567693,no,gMz1OBS9FlQ,5131,5172,Macedonia,Grevena,Traditional,Macedonian,Vlachic,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
17,ainte-mor-milia,"['Voice', 'Violin', 'Percussion', 'Laouto', 'Klarino']","['Traditional', 'Epirotic']","['Epirus', 'Metsovo']",39.77279687831799|21.180210833893486,yes,UaYoyQPZEuo,4869,4972,Epirus,Metsovo,Traditional,Epirotic,Epirotic,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no
18,ainte-mor-milia-sygkathistos,"['Voice', 'Violin', 'Percussion', 'Laouto', 'Klarino']","['Traditional', 'Epirotic']","['Epirus', 'Metsovo']",39.77279687831799|21.180210833893486,yes,ifRo_Z05kuQ,5758,6159,Epirus,Metsovo,Traditional,Epirotic,Epirotic,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no
19,aintes-oples,"['Voice', 'Percussion']","['Traditional', 'Mikrasiatiko']","['Asia-minor', 'Smyrni']",38.40759370339183|27.149200099431013,yes,-YUXPO1BSRw,3588,3783,Asia-minor,Smyrni,Traditional,Mikrasiatiko,Mikrasiatiko,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no
20,aivali,['Voice'],"['Traditional', 'Mikrasiatiko']","['Asia-minor', 'Aivali']",39.3374405113661|26.71068596969497,yes,-YUXPO1BSRw,5191,5281,Asia-minor,Aivali,Traditional,Mikrasiatiko,Mikrasiatiko,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
21,aivaliotiko-2,"['Violin', 'Laouto']","['Traditional', 'Mikrasiatiko']","['Asia-minor', 'Aivali']",39.3374405113661|26.71068596969497,no,Zy8tjrTf4sg,591,792,Asia-minor,Aivali,Traditional,Mikrasiatiko,Mikrasiatiko,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
22,aivaliotiko-zeibekiko,"['Percussion', 'Oud', 'Lyra']","['Traditional', 'Mikrasiatiko']","['Asia-minor', 'Aivali']",39.3374405113661|26.71068596969497,yes,-YUXPO1BSRw,5449,5586,Asia-minor,Aivali,Traditional,Mikrasiatiko,Mikrasiatiko,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no
23,aivaliotiko-zeibekiko-2,"['Violin', 'Santouri', 'Laouto']","['Traditional', 'Mikrasiatiko']","['Asia-minor', 'Aivali']",39.3374405113661|26.71068596969497,yes,jpktBKou-_E,5736,5863,Asia-minor,Aivali,Traditional,Mikrasiatiko,Mikrasiatiko,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no
24,akrogialies-deilina,"['Voice', 'Piano', 'Guitar', 'Bouzouki', 'Bass', 'Accordion']",['Laiko'],['N/A'],N/A,no,tzCMruLs9bM,829,943,N/A,N/A,Laiko,Laiko,Laiko,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no
25,ala-routza-peismatika-disticha,"['Voice', 'Tsampouna']","['Traditional', 'Nisiotiko', 'Aegean']","['Aegean-sea', 'Kalymnos']",36.987573229226555|26.988755984703815,no,-Lae0QmE15A,4865,5062,Aegean-sea,Kalymnos,Traditional,Nisiotiko,Aegean,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no
26,alabeis,"['Violin', 'Percussion', 'Laouto', 'Klarino', 'Guitar']","['Traditional', 'Epirotic']","['Epirus', 'Arta']",39.16897594931634|20.982720956750025,no,GIOAt5GHt3I,2219,2460,Epirus,Arta,Traditional,Epirotic,Epirotic,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no
27,alatsatiani,"['Voice', 'Percussion', 'Oud', 'Lyra']","['Traditional', 'Mikrasiatiko']","['Asia-minor', 'Smyrni']",38.40759370339183|27.149200099431013,yes,-YUXPO1BSRw,4650,4892,Asia-minor,Smyrni,Traditional,Mikrasiatiko,Mikrasiatiko,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no
28,alexandriani-felacha,"['Voice', 'Percussion', 'Oud', 'Lyra']","['Urban-folk', 'Mikrasiatiko']",['Asia-minor'],38.5231944247523|26.521702731335296,no,-YUXPO1BSRw,4515,4632,Asia-minor,Asia-minor,Urban-folk,Mikrasiatiko,Mikrasiatiko,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no
29,ali-pasas,"['Voice', 'Violin', 'Guitar', 'Cimbalom', 'Bass', 'Accordion']","['Traditional', 'Mikrasiatiko']","['Asia-minor', 'Smyrni']",38.40759370339183|27.149200099431013,no,TpK-XXFl51o,5348,5603,Asia-minor,Smyrni,Traditional,Mikrasiatiko,Mikrasiatiko,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
30,aliti-m-eipes-mia-vradia,"['Voice', 'Guitar', 'Bouzouki', 'Baglamas', 'Accordion']",['Rebetiko'],['N/A'],N/A,no,YEPmaDr_UMA,5386,5566,N/A,N/A,Rebetiko,Rebetiko,Rebetiko,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no
31,alvania,"['Violin', 'Percussion', 'Laouto', 'Klarino']","['Traditional', 'Epirotic']","['Epirus', 'Pogoni']",39.957398151152326|20.502372173521454,yes,UaYoyQPZEuo,3497,3585,Epirus,Pogoni,Traditional,Epirotic,Epirotic,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no
32,aman-katerina-mou,"['Voice', 'Violin', 'Santouri', 'Percussion', 'Oud', 'Guitar']","['Traditional', 'Mikrasiatiko']","['Asia-minor', 'Smyrni']",38.40759370339183|27.149200099431013,yes,5fJXkyrSxo4,3997,4208,Asia-minor,Smyrni,Traditional,Mikrasiatiko,Mikrasiatiko,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no
33,aman-ntoktor,"['Violin', 'Percussion', 'Oud', 'Guitar', 'Bass']","['Traditional', 'Mikrasiatiko']",['Asia-minor'],38.5231944247523|26.521702731335296,no,g4hypPA6D9Y,1402,1652,Asia-minor,Asia-minor,Traditional,Mikrasiatiko,Mikrasiatiko,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no
34,amanes,"['Voice', 'Oud']","['Traditional', 'Nisiotiko', 'Aegean']",['Aegean-sea'],38.5853888564289|25.564763646019834,no,mp1pK6b1Oho,5213,5386,Aegean-sea,Aegean-sea,Traditional,Nisiotiko,Aegean,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
35,amanes-2,"['Voice', 'Guitar', 'Bouzouki', 'Baglamas', 'Accordion']","['Traditional', 'Mikrasiatiko']",['Asia-minor'],38.5231944247523|26.521702731335296,no,YEPmaDr_UMA,6235,6495,Asia-minor,Asia-minor,Traditional,Mikrasiatiko,Mikrasiatiko,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no
36,amanes-otan-tis-nychtes-perpato,"['Voice', 'Oud']","['Traditional', 'Mikrasiatiko']",['Asia-minor'],38.5231944247523|26.521702731335296,no,-YUXPO1BSRw,4414,4515,Asia-minor,Asia-minor,Traditional,Mikrasiatiko,Mikrasiatiko,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no
37,amanes-paraponiara-mou-kardia,"['Voice', 'Percussion', 'Oud']","['Traditional', 'Mikrasiatiko']",['Asia-minor'],38.5231944247523|26.521702731335296,no,-YUXPO1BSRw,828,1095,Asia-minor,Asia-minor,Traditional,Mikrasiatiko,Mikrasiatiko,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no
38,amarantos-vasilis-saleas,"['Violin', 'Percussion', 'Laouto', 'Klarino', 'Guitar']","['Traditional', 'Central-Greek']",['Central-Greece'],38.87601135662379|22.319114372276747,yes,G9DwnuVgsVs,5693,5844,Central-Greece,Central-Greece,Traditional,Central-Greek,Central-Greek,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no
39,amariotikes-kontylies-pentozalis,"['Voice', 'Lyra', 'Laouto']","['Traditional', 'Nisiotiko', 'Cretan']",['Crete'],35.19124573828352|25.024171535651924,yes,4mMJSlECbh4,4126,4412,Crete,Crete,Traditional,Nisiotiko,Cretan,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
40,amygdalaki-tsakisa,"['Voice', 'Violin', 'Santouri', 'Percussion', 'Laouto', 'Klarino', 'Guitar']","['Traditional', 'Nisiotiko', 'Aegean']",['Aegean-sea'],38.5853888564289|25.564763646019834,yes,5z-ZGft2zCI,5418,5487,Aegean-sea,Aegean-sea,Traditional,Nisiotiko,Aegean,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no
41,an-den-pernas-ki-an-den-pernas,"['Voice', 'Violin', 'Santouri', 'Percussion', 'Oud', 'Kanonaki']","['Traditional', 'Mikrasiatiko', 'Politiko']","['Asia-minor', 'Poli']",41.01536713612946|29.015778607989805,yes,5fJXkyrSxo4,3032,3219,Asia-minor,Poli,Traditional,Mikrasiatiko,Politiko,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no
42,anastasia-kalamatianos,"['Voice', 'Violin', 'Laouto']","['Traditional', 'Nisiotiko', 'Aegean']","['Aegean-sea', 'Kalymnos']",36.987573229226555|26.988755984703815,yes,-Lae0QmE15A,2728,2928,Aegean-sea,Kalymnos,Traditional,Nisiotiko,Aegean,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
43,anathema-ton-aitio,['Voice'],"['Traditional', 'Nisiotiko', 'Aegean']","['Aegean-sea', 'Lesbos']",39.23867882632123|26.256429816602346,no,mp1pK6b1Oho,423,657,Aegean-sea,Lesbos,Traditional,Nisiotiko,Aegean,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
44,anathema-ton-chrysiko,['Voice'],"['Traditional', 'Peloponnesian']","['Peloponnese', 'Kalavryta']",38.02253753321499|22.117596423290088,no,6bLFhgwoKsY,48,136,Peloponnese,Kalavryta,Traditional,Peloponnesian,Peloponnesian,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
45,andra-mou-paei,"['Voice', 'Violin', 'Mandolin', 'Guitar', 'Accordion']","['Traditional', 'Southern-Italian', 'Polyphonic']",['Southern-Italy'],37.4956965444923|14.488217381442661,no,l2gUntzxeVc,3622,3937,Southern-Italy,Southern-Italy,Traditional,Southern-Italian,Polyphonic,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no
46,aneforitsa,"['Voice', 'Percussion', 'Lyra', 'Laouto']","['Traditional', 'Pontian']",['Pontus'],40.98830222241354|39.727075504282254,yes,VmaUraZpvI8,656,792,Pontus,Pontus,Traditional,Pontian,Pontian,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no
47,aneforitssa,"['Voice', 'Percussion', 'Lyra']","['Traditional', 'Pontian']",['Pontus'],40.98830222241354|39.727075504282254,yes,LL6pe_UtAe0,5181,5300,Pontus,Pontus,Traditional,Pontian,Pontian,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no
48,anevika-sti-piperia,"['Voice', 'Percussion', 'Guitar', 'Bouzouki', 'Bass', 'Accordion']",['Traditional'],['N/A'],N/A,yes,pxhw04LZhiY,3658,3883,N/A,N/A,Traditional,Traditional,Traditional,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no
49,angelokamomeni-mou,"['Voice', 'Guitar', 'Bouzouki', 'Baglamas', 'Accordion']",['Rebetiko'],['N/A'],N/A,no,YEPmaDr_UMA,5026,5215,N/A,N/A,Rebetiko,Rebetiko,Rebetiko,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no
50,anoixan-ta-dentra-oula,"['Voice', 'Violin', 'Percussion', 'Laouto', 'Klarino', 'Guitar']","['Traditional', 'Macedonian']",['Macedonia'],40.910884328073564|23.22153108200181,yes,5z-ZGft2zCI,3070,3153,Macedonia,Macedonia,Traditional,Macedonian,Macedonian,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no
51,anoixi-bainei-sto-chorio,"['Voice', 'Percussion', 'Lyra', 'Laouto', 'Guitar', 'Bass']","['Traditional', 'Nisiotiko', 'Cretan']",['Crete'],35.19124573828352|25.024171535651924,yes,lBs4PyiRsIY,4928,5136,Crete,Crete,Traditional,Nisiotiko,Cretan,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no
52,antra-mou-paei,"['Voice', 'Mandolin', 'Guitar', 'Bass', 'Accordion']","['Traditional', 'Southern-Italian']",['Southern-Italy'],37.4956965444923|14.488217381442661,no,fooYiNew79E,5331,5538,Southern-Italy,Southern-Italy,Traditional,Southern-Italian,Southern-Italian,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no
53,ap-tis-zeas-to-limani,"['Voice', 'Guitar', 'Bouzouki', 'Baglamas']",['Rebetiko'],['N/A'],N/A,no,IzjFkYASGbY,3645,3857,N/A,N/A,Rebetiko,Rebetiko,Rebetiko,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no
54,apo-ta-glyka-sou-matia,"['Voice', 'Violin', 'Santouri', 'Percussion', 'Oud', 'Kanonaki']","['Traditional', 'Mikrasiatiko', 'Politiko']","['Asia-minor', 'Poli']",41.01536713612946|29.015778607989805,yes,5fJXkyrSxo4,2351,2654,Asia-minor,Poli,Traditional,Mikrasiatiko,Politiko,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no
55,apo-ta-glyka-sou-matia-2,"['Voice', 'Violin', 'Santouri', 'Percussion', 'Oud', 'Kanonaki']","['Traditional', 'Mikrasiatiko']","['Asia-minor', 'Smyrni']",38.40759370339183|27.149200099431013,yes,5fJXkyrSxo4,4413,4629,Asia-minor,Smyrni,Traditional,Mikrasiatiko,Mikrasiatiko,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no
56,apo-tin-patra-erchomai,"['Voice', 'Violin', 'Percussion', 'Laouto', 'Klarino', 'Floghera']","['Traditional', 'Peloponnesian']",['Peloponnese'],37.200485993306756|22.362045452582027,yes,6bLFhgwoKsY,3940,4105,Peloponnese,Peloponnese,Traditional,Peloponnesian,Peloponnesian,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no
57,apo-xeno-topo-syrtos,"['Voice', 'Percussion', 'Oud']","['Traditional', 'Mikrasiatiko']","['Asia-minor', 'Smyrni']",38.40759370339183|27.149200099431013,no,-YUXPO1BSRw,43,240,Asia-minor,Smyrni,Traditional,Mikrasiatiko,Mikrasiatiko,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no
58,apochairetismos,"['Voice', 'Piano', 'Percussion', 'Ney', 'Laouto', 'Guitar', 'Bass']",['Newer'],['N/A'],N/A,no,lBs4PyiRsIY,2523,2728,N/A,N/A,Newer,Newer,Newer,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,no,no
59,apopse-eisai-gia-fili,"['Voice', 'Piano', 'Guitar', 'Bouzouki', 'Bass', 'Accordion']",['Laiko'],['N/A'],N/A,no,zkoqg3VRVLA,42,300,N/A,N/A,Laiko,Laiko,Laiko,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no
60,apopse-kaneis-bam,"['Voice', 'Percussion', 'Guitar', 'Bouzouki', 'Bass', 'Accordion']",['Laiko'],['N/A'],N/A,yes,pxhw04LZhiY,6047,6214,N/A,N/A,Laiko,Laiko,Laiko,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no
61,apopse-sti-mikri-ti-geitonia-sou,"['Voice', 'Guitar']","['Urban-folk', 'Urban-light']",['N/A'],N/A,no,vd8WTrc12Uo,2862,3037,N/A,N/A,Urban-folk,Urban-light,Urban-light,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
62,apopse-sto-diko-sou-machala,"['Voice', 'Percussion', 'Guitar', 'Bouzouki', 'Bass', 'Accordion']",['Rebetiko'],['N/A'],N/A,yes,pxhw04LZhiY,553,749,N/A,N/A,Rebetiko,Rebetiko,Rebetiko,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no
63,apopse-sto-diko-sou-mahala,"['Voice', 'Percussion', 'Oud', 'Ney', 'Lyra', 'Kanonaki', 'Bass']","['Rebetiko', 'Arrangement']",['N/A'],N/A,no,Dd0IreIlLJE,4811,4947,N/A,N/A,Rebetiko,Arrangement,Arrangement,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no
64,apopse-sto-spitaki-mou,['Voice'],"['Traditional', 'Sarakatsani']",['N/A'],N/A,no,FXS9jCtkFLk,399,533,N/A,N/A,Traditional,Sarakatsani,Sarakatsani,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
65,apopse-ta-matakia-sou-kathistiko,"['Voice', 'Violin', 'Percussion', 'Laouto', 'Klarino']","['Traditional', 'Epirotic', 'Vlachic']","['Epirus', 'Metsovo']",39.77279687831799|21.180210833893486,no,wFOvhBpFM1o,5521,5742,Epirus,Metsovo,Traditional,Epirotic,Vlachic,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no
